brightness04,6-Oct,"   ""  kia hyundai under-achieving  ""  kia hyundai  and   ""  kia hyundai over-achieving  ""  kia hyundai  are relative terms . . . boy i learned that lesson in school, the hard way. lol. achieving top 20% income level as early as the late-20's is quite impressive. keep in mind however the average income earner do not buy the average-priced new car . . . the avearge income households buy used  car . it's really quite tough to afford a car that costs more 30-50% of the buyer's annual income at the time of purchase, unless the buyer is still living off parents or something. a typical car cost 50% of its purchase-time price in the three years after acquisition, through depreciation, interest payment, taxes, insurance, etc.. that means roughly 16% of income each year for someone acquiring a car that is priced at 50% of his income . . . that means roughly 30% of after-tax income each year for the first three years, for someone who buys a $40k car on an $80k income. that's just not manageable for most households. lease subsidies, and manufacturers' rebates that do not get reflected in the lease residual can change the numbers significantly . . . but neither is available for  bmw  at this time. "
kdshapiro,6-Oct,"   ""  kia hyundai most bmw's owners paid for the badge, rather than the car imho.  ""  kia hyundai i'm glad you added imho. because you don't speak for me, and i assume you know nothing about a bmw buyer, except for a small select few.you are right, people do pay for the badge. but a potential buyer understands what is behind the badge. bmw has worked very hard to engineer their  car  for people who want the ultimate driving experience. if you haven't driven a bmw borrow one from one of your friends overnight and have some fun with it. "
fedlawman,6-Oct,"   ""  kia hyundai it's not a matter of   ""  kia hyundai if  ""  kia hyundai  i can afford a $43,500 car, but is the car   ""  kia hyundai worth  ""  kia hyundai  $43,500.  ""  kia hyundai why is a porsche 911 twice the price of a  chevrolet ?how is an $8,000 rolex better than a $30 timex?why would anyone pay $30 for an 8 oz tenderloin when you can get a 1/4 pounder with cheese for $2?rocky, just because you can't tell the difference, doesn't mean it isn't there. it may not be worth it to you, but for many of us, it is.i applaud cadillac for having the guts to build and market a car like the cts. it's not sublime like a bmw, but it is a competent and appealing sport sedan by all accounts. gm is doing good things right now (solstice/sky,  chevrolet , cts) and i hope they continue moving forward down the path they started. "
rockylee,6-Oct,"   ""  kia hyundai under-achieving  ""  kia hyundai  and   ""  kia hyundai over-achieving  ""  kia hyundai  are relative terms . . . boy i learned that lesson in school, the hard way. lol. achieving top 20% income level as early as the late-20's is quite impressivei've made over $56k ever since i was 24. last year i made $58k. this yr. i should eclipse $60k. i'm not boasting about it because it's never enough unless you are rich like brightness,   ""  kia hyundai and money ain't a thang  ""  kia hyundai  :p j/k hows your kiddo brightness ?keep in mind however the average income earner do not buy the average-priced new car . . . the avearge income households buy used  car i agree with ya pal. however it seems like they are able to afford more house than i'd be willing to pay for.  it's really quite tough to afford a car that costs more 30-50% of the buyer's annual income at the time of purchase, unless the buyer is still living off parents or something.it can be done if the person is finacial savy and isn't in credit card debt, house broke, furniture broke, latest electronics broke. however i agree it's most wise not to throw money away on a expensive car that depreciates. however a car can be rewarding.a typical car cost 50% of its purchase-time price in the three years after acquisition, through depreciation, interest payment, insurance, etc.. that means roughly 16% of income each year for someone acquires a car that costs 50% of his income . . . that means roughly 30% of after-tax income each year for the first three years, for someone who buys a $40k car on an $80k income. if you've read the posts in this forum both you and i are dumb for looking at inferior  car  from gm, because a bmw, holds its resale so well even though it costs a arm and a leg unless you want pleather and hardly no options. :surprise: that's just not manageable for most households. lease subsidies, and manufacturers' rebates that do not get reflected in the lease residual can change the numbers significantly . . . but neither is available for  bmw  at this time. i agree with ya again brightness rocky "
rockylee,6-Oct," i have 2 friends that own 3 series. i drove both of theirs and agree they are nice  car . otoh, like i  toyota d they don't do it for me. why ? at that price i want some detriot torque to get my heart racing.  rocky "
oldcem,6-Oct," neither can the bmw 325is, 2.0t  audi s, etc. guess they don't belong here either. "
rockylee,6-Oct," it's not that you don't worship  bmw , the lord only knows you are entitled and everybody respects that.well it seems like i'm getting chastized for mot following in lock-step with most of the forum. i left the  bmw  forum to avoid this. :p if any of you know me i'm not sensitive and enjoy a good debate though.  your tagline seems to be wait until 2008 and bmw will be toast.i'm not saying bmw will be toast, but a good slice of the 2,000,000 unit pie should be taken by cadillac finally. so yeah they will take some sales from potential bimmer buyers. well i should say they will win some back that bmw took over the last 3 years.  2008 is two years away, live in the now! by 2008 bmw will be superchargings its  bmw , the  bmw  will be putting out close to 900hp.900 hp. that's funny. rotf !!!!  you are quite the character kdshapiro  the  bmw  will be sipping fuel at 40mpg, while averaging 4 secs to 60. -see above post- yeah i know, you still won't fit in the backseat.yeah the knee and ears sitting style won't work for my family. :surprise:the cts-v will beat it, but you'll need a trunk full of money for the gas.currently at 100 hp advantage it get's the same epa numbers as a  bmw  + in 2008' i'll get 200-300 more horses good for 0-60 in about 4 flat. :procky "
dandrews1,6-Oct,"   ""  kia hyundai this thread isn't just about   ""  kia hyundai entry level luxury  ""  kia hyundai , its about   ""  kia hyundai entry level performance luxury.  ""  kia hyundai  the x-type has no business here when it can't even perform up to generic family hauler specs.  ""  kia hyundai 227 bhp in the x-type is still performance... does anyone remember the days of the 5.0l  ford  with 200 hp - somewhat near the top of the heap for the times... now it seems like if you have less than 250 you're not worth looking at.so are we looking at entry luxury performancy in terms of horsepower, or in terms of price?if it's horsepower, i'll throw in my hand for the porsche boxster s. if it's price, i'll go with a   mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz  mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz     mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz  mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz      mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz  mercedes-benz benz mercedes-benz benz mercedes-benz benz mercedes-benz benz   kompressor "
rockylee,6-Oct, i thought we were looking at entry luxury performance  sedan  ? :confuse: rocky 
habitat1,6-Oct," rocky,i'm not going to give you a lesson on economics and try to convince you to buy a bmw. i'm not on bmw's marketing payroll and i don't care what you drive. vice- nissan  i'm sure. but i will share my personal experience and why i don't ever see financially soph toyota icated buyers flocking from bmw (or lexus, or acura or..) to cadillac. from 1987 to 1995 i owned a acura  acura . initial cost $12,600. retired to salvation army in 1995 w/ 127k miles. from 1995 to present i own a nissan  nissan . initial cost $20,500. retired from primary duty in 2004, but still alive and kicking at 155k miles.perhaps there is a gm/cadillac model that you would find attractive to own for the next 10 years. i have a seriously dificult time renting a gm for 10 days on business. for me, the value of a  bmw , or any number of other really well built and well engineered  car , is that they can last 10-15 years - and still be enjoyable to drive at the end of that time. if you buy high quality that lasts, at a fair price, you will almost always be ahead of buying low quality at a cheaper price. gm has a long h toyota ory of producing vehicles that, after 5 years, hardly anyone wants to own. they might have the ability to last 150k miles, but if they weren't already killing you with squeeks and rattles when they were new, they certainly will by the 5 year mark. i seriously doubt even you would find a 5+ year ownership experience desireable. i'm sure gm would have something with another 100 lbs of torque to get your blood going. and you'd be stuck trying to find someone who finds a 4-5 year old caddy an attractive car. they may be out there where you live, but they sure aren't in my neighborhood. so in summary, i don't fault you for liking gm. that's your perogative. and, i certainly don't fault you for thinking $40k is expensive. i made the same as you when i bought that  acura  and thought, at the time, that a $20k  acura  was too much. but i would respectfully suggest that true build quality and long term value are not things that should be dismissed in favor of leather and torque. and that's where imo, bmw will continue to shine over gm.p.s. in 1988 i bought a fixer upper house in a good neighborhood that i stretched for. this month, i'll send in the final mortgage payment. it's current market value is about as much as our 911s ... plus a 911 turbo, cayenne turbo, and carerra gt combined. so don't feel too bad for those of us that put money into a house instead of a caddy... or a bmw... or even an acura  acura .  "
